Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,2,yolov8n_config_0,1:GPU,Yes,1214.3,41.8,67.8
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,1,yolov8n_config_0,1:GPU,Yes,1198.5,34.7,70.8
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,2,yolov8n_config_1,1:GPU,Yes,1202.7,36.0,64.8
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,1,yolov8n_config_1,1:GPU,Yes,1202.7,38.5,71.4
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,2,yolov8n_config_3,2:GPU,Yes,1458.6,44.0,80.7
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,1,yolov8n_config_3,2:GPU,Yes,1324.4,29.7,65.7
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,2,yolov8n_config_2,2:GPU,Yes,1324.4,31.8,63.6
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,1,yolov8n_config_2,2:GPU,Yes,1324.4,31.2,67.4
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,2,yolov8n_config_default,1:CPU,Yes,1072.7,27.8,20.6
yolov8n,GPU-b977c055-537a-b8d5-89fd-f9f48bd9d775,1,1,yolov8n_config_default,1:CPU,Yes,1085.3,6.6,41.8

